TOTS;Player;Squad;Born;Age;Nation;Nation2;MP;90s;Minutes;Pos1;Pos2;Starts;Gls;Ast;GAs;pensattempted;pensscored;nonpengoals;xpectedAssistedGoals;xpectedGoals;nonpenxG;ProgCarries;ProgPasses;ProgRuns;CrdY;CrdR;gls90;ast90;ga90;ganonpen90;nonpengoals90;xpectGoals90;xGaXG90;xAG90;nonpenxpecGoalsxAssistedGoals90;npxGxAG;npxG90;glcreatingaction;GCA90;foulsdrawn;Fouldrawngoal;defensiveactionsthatleadtoshotattempt;defactiongoal;PassDeadShotAttempt;PassDeaGoal;PassLiveShotAttempt;PassLiveGoal;shotcreatingactions;SCA90;succtakeon;TakeOnGoal;Sum of clearances;challengeslost;intercepts;errors;tackles;TklWon;shotsblocked;passsesblocked;percentdribblerstackled;crossesfaced;crossesstopped;crossstopperc;defactionsoutsidepenarea;defactionoutsidepen90;passesattemtedover40yards;passescompetedover40yards;AvgDistofdefensiveactionsfromgoal;AvgLenpassinYards;OG;PSxG;PSxGallowed90;PSxGperShotonTarget;PSxGminusgoalsallowed;GA;PKA;Touches;DefPenTouches;Def3rdTouches;Mid3rdTouches;Att3rdTouches;AttPenaltyareatouches;LiveBallTouches;Carries;Miscontrols;TakeOnAttempted;TakeOnSucc;TakeOnSuccPercen;TkldDurTakeOn;TotDistYards;TkldPercen;PassesReceived;ProgPassesReceived;Dispossessed
No;Jordan Ayew;Crystal Palace;1991;32;gh GHA;gh;1;0.2;21;FW;MF;0;0;0;0;0;0;0;0;0.5;0.5;0;0;1;1;0;0;0;0;0;0;1.96;2.17;0.21;2.17;0.5;1.96;0;0;0;0;0;0;0;0;1;0;1;4.29;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;;;;;;;12;0;0;7;5;1;12;6;0;0;0;;0;25;;9;1;1
No;Jordan Ayew;Leicester City;1991;32;gh GHA;gh;30;18.2;1638;FW;MF;19;5;0;5;1;1;4;1.1;3.2;2.4;49;46;86;5;0;0.27;0;0.27;0.22;0.22;0.17;0.24;0.06;0.19;3.5;0.13;2;0.11;1;0;1;0;8;0;24;1;41;2.25;3;0;19;16;12;0;27;15;2;19;30,4;;;;;;;;;;;;;;;;;798;21;103;407;312;55;797;479;63;64;26;40.6;32;3374;50;540;86;40
No;Jordan Pickford;Everton;1994;30;eng ENG;eng;38;38;3420;GK;;38;0;1;1;0;0;0;0.4;0;0;0;0;0;7;0;0;0.03;0.03;0.03;0;0;0.01;0.01;0.01;0.4;0;2;0.05;0;0;0;0;1;0;12;2;13;0.34;0;0;30;1;1;2;1;0;0;0;50;558;31;5.6;57;1.5;806;304;15.2;39.7;0;48.8;0.13;0.3;4.8;44;0;1708;1116;1640;69;0;0;1708;989;2;0;0;;0;5989;;871;0;0
No;Jorge Cuenca;Fulham;1999;24;es ESP;es;8;3.9;351;DF;;4;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0.01;0.01;0;0.01;0;0.01;0;0;0;0;0;0;0;0;1;0;1;0.26;0;0;26;5;2;0;6;2;4;0;37,5;;;;;;;;;;;;;;;;;214;38;134;74;7;1;214;89;2;2;2;100;0;302;0;133;0;0
No;Jørgen Strand Larsen;Wolves;2000;24;no NOR;no;35;28.7;2587;FW;;30;14;4;18;0;0;14;3;10.3;10.3;17;29;112;4;0;0.49;0.14;0.63;0.63;0.49;0.36;0.46;0.1;0.46;13.3;0.36;6;0.21;2;0;2;0;1;0;33;6;42;1.46;1;0;29;23;6;0;10;6;4;15;14,8;;;;;;;;;;;;;;;;;736;36;85;348;304;108;736;345;90;20;8;40;11;1194;55;534;112;34
No;Jorginho;Arsenal;1991;32;it ITA;it;15;7.8;704;MF;;9;0;0;0;0;0;0;0.4;0.1;0.1;12;48;6;5;0;0;0;0;0;0;0.01;0.06;0.05;0.06;0.5;0.01;0;0;2;0;0;0;0;0;10;0;12;1.54;0;0;2;12;7;2;12;4;0;3;40;;;;;;;;;;;;;;;;;522;9;93;304;131;3;522;302;12;4;1;25;2;1498;50;389;6;9
No;José Sá;Wolves;1993;31;pt POR;pt;29;29;2609;GK;;29;0;0;0;0;0;0;0.2;0;0;0;2;0;2;0;0;0;0;0;0;0;0.01;0.01;0.01;0.2;0;0;0;0;0;0;0;0;0;5;0;5;0.17;0;0;15;0;0;1;2;2;0;0;100;432;32;7.4;43;1.48;382;94;15.5;35.2;2;42.8;-0.11;0.33;-3.2;48;5;985;785;976;10;0;0;985;630;1;8;8;100;0;3790;0;485;0;0
No;Joshua Acheampong;Chelsea;2006;18;eng ENG;eng;4;1.9;170;DF;;2;0;0;0;0;0;0;0;0.2;0.2;0;8;0;1;0;0;0;0;0;0;0.12;0.12;0;0.12;0.2;0.12;0;0;0;0;0;0;0;0;2;0;2;1.06;0;0;2;0;1;0;2;1;0;1;100;;;;;;;;;;;;;;;;;137;7;48;81;8;3;137;106;2;2;1;50;0;709;0;111;0;0
No;Joshua King;Fulham;2007;17;eng ENG;eng;8;1.4;130;MF;;1;0;0;0;0;0;0;0.4;0.3;0.3;3;9;16;0;0;0;0;0;0;0;0.22;0.51;0.3;0.51;0.7;0.22;2;1.38;0;0;0;0;0;0;6;2;8;5.54;1;0;1;3;1;0;7;5;0;3;0;;;;;;;;;;;;;;;;;87;2;12;31;46;10;87;44;1;8;4;50;4;335;50;60;16;6
No;Joshua Zirkzee;Manchester Utd;2001;23;nl NED;nl;32;15.6;1402;FW;MF;14;3;1;4;0;0;3;1.5;4.8;4.8;14;44;69;2;0;0.19;0.06;0.26;0.26;0.19;0.31;0.41;0.1;0.41;6.3;0.31;3;0.19;1;1;0;0;0;0;28;1;31;1.99;0;0;8;5;6;1;14;8;4;11;50;;;;;;;;;;;;;;;;;587;16;71;303;219;56;587;327;41;35;11;31.4;24;1483;68.6;418;69;30
