TOTS;Player;Squad;Born;Age;Nation;Nation2;MP;90s;Minutes;Pos1;Pos2;Starts;Gls;Ast;GAs;pensattempted;pensscored;nonpengoals;xpectedAssistedGoals;xpectedGoals;nonpenxG;ProgCarries;ProgPasses;ProgRuns;CrdY;CrdR;gls90;ast90;ga90;ganonpen90;nonpengoals90;xpectGoals90;xGaXG90;xAG90;nonpenxpecGoalsxAssistedGoals90;npxGxAG;npxG90;glcreatingaction;GCA90;foulsdrawn;Fouldrawngoal;defensiveactionsthatleadtoshotattempt;defactiongoal;PassDeadShotAttempt;PassDeaGoal;PassLiveShotAttempt;PassLiveGoal;shotcreatingactions;SCA90;succtakeon;TakeOnGoal;Sum of clearances;challengeslost;intercepts;errors;tackles;TklWon;shotsblocked;passsesblocked;percentdribblerstackled;crossesfaced;crossesstopped;crossstopperc;defactionsoutsidepenarea;defactionoutsidepen90;passesattemtedover40yards;passescompetedover40yards;AvgDistofdefensiveactionsfromgoal;AvgLenpassinYards;OG;PSxG;PSxGallowed90;PSxGperShotonTarget;PSxGminusgoalsallowed;GA;PKA;Touches;DefPenTouches;Def3rdTouches;Mid3rdTouches;Att3rdTouches;AttPenaltyareatouches;LiveBallTouches;Carries;Miscontrols;TakeOnAttempted;TakeOnSucc;TakeOnSuccPercen;TkldDurTakeOn;TotDistYards;TkldPercen;PassesReceived;ProgPassesReceived;Dispossessed
No;Kevin Schade;Brentford;2001;22;de GER;de;38;25.5;2293;FW;;26;11;2;13;0;0;11;3.7;8.2;8.2;61;38;165;3;0;0.43;0.08;0.51;0.51;0.43;0.32;0.47;0.14;0.47;11.9;0.32;9;0.35;5;0;1;0;6;0;35;5;57;2.24;6;1;34;10;5;0;39;25;4;15;56,5;;;;;;;;;;;;;;;;;883;43;154;238;507;146;883;434;60;89;30;33.7;52;3086;58.4;543;165;36
No;Kieran Tierney;Arsenal;1997;27;sct SCO;sct;13;2.9;259;DF;FW;2;1;0;1;0;0;1;1.4;0.4;0.4;8;15;29;0;0;0.35;0;0.35;0.35;0.35;0.12;0.6;0.48;0.6;1.7;0.12;0;0;0;0;0;0;1;0;9;0;10;3.47;0;0;9;2;3;0;7;5;0;0;66,7;;;;;;;;;;;;;;;;;199;8;36;72;91;6;199;108;3;4;2;50;1;447;25;143;29;0
No;Kieran Trippier;Newcastle Utd;1990;33;eng ENG;eng;25;14.5;1309;DF;;14;0;3;3;0;0;0;1.4;0.1;0.1;26;117;58;1;0;0;0.21;0.21;0.21;0;0.01;0.1;0.1;0.1;1.5;0.01;6;0.41;0;0;0;0;20;2;32;4;54;3.71;0;0;49;14;12;0;38;21;3;8;61,1;;;;;;;;;;;;;;;;;1388;50;375;616;406;13;1388;609;11;8;4;50;4;2258;50;847;58;8
No;Kiernan Dewsbury-Hall;Chelsea;1998;25;eng ENG;eng;13;2.9;264;MF;FW;2;0;1;1;0;0;0;1.1;0.2;0.2;5;14;11;0;0;0;0.34;0.34;0.34;0;0.08;0.44;0.36;0.44;1.3;0.08;1;0.34;0;0;0;0;0;0;5;1;5;1.7;0;0;9;2;2;1;8;5;0;2;66,7;;;;;;;;;;;;;;;;;184;5;30;96;58;6;184;95;1;4;2;50;2;483;50;138;11;3
No;Kim Jisoo;Brentford;2004;19;kr KOR;kr;3;0.3;30;DF;;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;30;1;15;12;3;0;30;15;0;0;0;;0;57;;22;0;1
No;Kobbie Mainoo;Manchester Utd;2005;19;eng ENG;eng;25;18.3;1651;MF;;19;0;0;0;0;0;0;1.6;0.7;0.7;22;65;47;5;0;0;0;0;0;0;0.04;0.12;0.09;0.12;2.3;0.04;3;0.16;1;0;0;0;0;0;29;3;34;1.85;4;0;14;16;19;1;46;29;2;14;60;;;;;;;;;;;;;;;;;1061;25;197;587;287;36;1061;652;36;50;23;46;25;2850;50;760;47;36
No;Konstantinos Mavropanos;West Ham;1997;26;gr GRE;gr;33;22.7;2045;DF;;21;0;0;0;0;0;0;0.5;1.5;1.5;17;61;2;6;1;0;0;0;0;0;0.07;0.09;0.02;0.09;2;0.07;0;0;0;0;1;0;0;0;12;0;16;0.7;1;0;126;11;40;1;35;24;18;7;59,3;;;;;;;;;;;;;;;;;1532;244;806;671;63;24;1532;864;12;17;9;52.9;5;4287;29.4;1008;2;0
No;Kosta Nedeljković;Aston Villa;2005;18;rs SRB;rs;5;1.4;126;DF;;0;0;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;7;5;0;1;66,7;;;;;;;;;;;;;;;;;66;4;15;32;19;0;66;27;1;2;1;50;1;101;50;32;0;0
No;Kostas Tsimikas;Liverpool;1996;28;gr GRE;gr;18;9.3;837;DF;;9;0;1;1;0;0;0;2.1;0.4;0.4;17;76;43;2;0;0;0.11;0.11;0.11;0;0.04;0.27;0.23;0.27;2.5;0.04;2;0.21;1;0;0;0;9;1;21;1;31;3.33;0;0;20;9;11;0;31;20;2;3;60,9;;;;;;;;;;;;;;;;;741;33;190;327;229;13;741;368;6;12;5;41.7;5;1567;41.7;472;43;4
No;Kristoffer Ajer;Brentford;1998;26;no NOR;no;24;16;1438;DF;;17;0;0;0;0;0;0;1.2;1;1;27;56;44;5;0;0;0;0;0;0;0.06;0.14;0.08;0.14;2.2;0.06;2;0.13;0;0;0;0;0;0;15;2;18;1.13;1;0;50;13;12;0;26;18;4;13;51,9;;;;;;;;;;;;;;;;;795;53;265;368;168;38;795;387;15;16;7;43.8;8;2098;50;491;44;12
No;Kyle Walker;Manchester City;1990;34;eng ENG;eng;15;10.8;970;DF;;9;0;0;0;0;0;0;0.4;0.1;0.1;12;64;11;3;0;0;0;0;0;0;0.01;0.05;0.04;0.05;0.6;0.01;0;0;0;0;0;0;0;0;17;0;17;1.58;0;0;13;12;3;1;17;10;4;9;53,8;;;;;;;;;;;;;;;;;892;26;197;473;228;5;892;499;9;6;3;50;2;2284;33.3;630;11;2
No;Kyle Walker-Peters;Southampton;1997;27;eng ENG;eng;33;32.4;2918;DF;;33;0;2;2;0;0;0;2.8;0.8;0.8;114;139;144;5;0;0;0.06;0.06;0.06;0;0.03;0.11;0.09;0.11;3.6;0.03;7;0.22;3;0;2;0;3;0;40;5;63;1.94;10;1;90;19;19;1;44;29;15;12;45,7;;;;;;;;;;;;;;;;;2022;151;615;884;540;59;2022;1271;32;92;38;41.3;39;7917;42.4;1433;144;39
No;Lamare Bogarde;Aston Villa;2004;20;nl NED;nl;8;5.3;476;DF;MF;5;0;0;0;0;0;0;0.1;0;0;12;14;9;2;0;0;0;0;0;0;0.01;0.03;0.02;0.03;0.2;0.01;1;0.19;0;0;1;0;1;0;8;1;10;1.89;0;0;13;6;1;0;14;6;3;2;62,5;;;;;;;;;;;;;;;;;325;16;95;191;40;4;325;173;6;4;2;50;1;1031;25;212;9;8
No;Leandro Trossard;Arsenal;1994;29;be BEL;be;38;28.3;2546;FW;;28;8;7;15;0;0;8;6.1;7.2;7.2;80;101;226;4;1;0.28;0.25;0.53;0.53;0.28;0.25;0.47;0.22;0.47;13.3;0.25;8;0.28;4;0;2;0;2;0;72;8;93;3.29;7;0;18;22;9;0;31;20;0;32;35,3;;;;;;;;;;;;;;;;;1278;17;135;399;762;158;1278;828;66;86;38;44.2;37;5024;43;956;226;52
No;Leif Davis;Ipswich Town;2000;24;eng ENG;eng;33;30.5;2743;DF;;32;1;2;3;0;0;1;4.9;1;1;52;59;137;5;1;0.03;0.07;0.1;0.1;0.03;0.03;0.19;0.16;0.19;5.8;0.03;4;0.13;1;0;1;0;39;0;46;3;93;3.05;3;1;77;18;25;3;46;27;8;17;62,5;;;;;;;;;;;;;;;;;1562;117;534;520;527;42;1562;708;37;38;13;34.2;18;3804;47.4;835;137;16
No;Leny Yoro;Manchester Utd;2005;18;fr FRA;fr;21;12.9;1165;DF;;12;0;0;0;0;0;0;0.1;0.7;0.7;19;52;4;5;0;0;0;0;0;0;0.05;0.06;0.01;0.06;0.8;0.05;0;0;0;0;1;0;0;0;6;0;9;0.7;0;0;43;6;18;0;29;11;3;2;68,4;;;;;;;;;;;;;;;;;894;87;413;414;70;13;894;614;3;4;2;50;2;3173;50;656;4;4
No;Leon Bailey;Aston Villa;1997;26;jm JAM;jm;24;12.7;1139;FW;MF;14;1;2;3;0;0;1;1.5;1.7;1.7;58;35;121;3;0;0.08;0.16;0.24;0.24;0.08;0.14;0.26;0.12;0.26;3.3;0.14;4;0.32;3;0;0;0;1;0;23;4;38;3.01;8;0;12;8;3;0;7;5;0;6;27,3;;;;;;;;;;;;;;;;;545;18;77;155;323;70;545;348;35;57;22;38.6;24;2582;42.1;390;121;25
No;Lesley Ugochukwu;Southampton;2004;20;fr FRA;fr;26;18.4;1655;MF;;18;1;1;2;0;0;1;1;0.9;0.9;29;49;20;7;0;0.05;0.05;0.11;0.11;0.05;0.05;0.1;0.06;0.1;1.9;0.05;1;0.05;2;0;0;0;0;0;20;0;24;1.3;1;0;23;18;14;2;50;24;10;17;50;;;;;;;;;;;;;;;;;879;50;215;501;169;24;879;479;12;28;19;67.9;8;2565;28.6;600;20;13
No;Levi Colwill;Chelsea;2003;21;eng ENG;eng;35;35;3149;DF;;35;2;1;3;0;0;2;1.1;1.9;1.9;14;131;12;9;0;0.06;0.03;0.09;0.09;0.06;0.05;0.09;0.03;0.09;3;0.05;3;0.09;0;0;1;1;2;0;34;2;38;1.09;0;0;118;9;33;4;47;34;25;12;66,7;;;;;;;;;;;;;;;;;2904;383;1363;1417;140;36;2904;1621;14;12;6;50;5;7389;41.7;2092;12;8
No;Lewis Cook;Bournemouth;1997;27;eng ENG;eng;36;33.1;2978;MF;DF;32;1;3;4;0;0;1;4.1;0.9;0.9;33;158;52;8;1;0.03;0.09;0.12;0.12;0.03;0.03;0.15;0.12;0.15;5.1;0.03;5;0.15;0;0;0;0;18;1;69;2;89;2.69;0;0;70;30;41;0;81;42;11;19;55,2;;;;;;;;;;;;;;;;;1900;87;440;1010;470;20;1900;825;31;20;13;65;7;4125;35;965;52;18
No;Lewis Dunk;Brighton;1991;32;eng ENG;eng;25;23.1;2083;DF;;23;0;0;0;0;0;0;0.5;0.8;0.8;20;142;3;5;0;0;0;0;0;0;0.03;0.06;0.02;0.06;1.3;0.03;3;0.13;0;0;0;0;0;0;17;2;19;0.82;0;0;79;8;13;2;17;10;18;10;57,9;;;;;;;;;;;;;;;;;2127;258;993;1031;113;21;2127;1341;9;1;0;0;1;6155;100;1556;3;3
No;Lewis Hall;Newcastle Utd;2004;19;eng ENG;eng;27;24.3;2189;DF;;24;0;4;4;0;0;0;4.3;0.4;0.4;41;123;80;3;0;0;0.16;0.16;0.16;0;0.02;0.19;0.18;0.19;4.7;0.02;6;0.25;1;0;0;0;18;1;44;5;63;2.59;0;0;75;34;18;3;58;41;18;15;54,1;;;;;;;;;;;;;;;;;1820;95;623;804;414;47;1820;950;33;21;11;52.4;7;4398;33.3;1094;80;20
No;Lewis Miley;Newcastle Utd;2006;18;eng ENG;eng;14;3.5;313;MF;;1;1;0;1;0;0;1;0;0.5;0.5;2;17;8;0;0;0.29;0;0.29;0.29;0.29;0.16;0.16;0.01;0.16;0.6;0.16;0;0;0;0;1;0;0;0;3;0;4;1.15;0;0;5;7;2;2;14;11;1;4;50;;;;;;;;;;;;;;;;;235;5;44;124;68;6;235;112;8;3;1;33.3;1;544;33.3;163;8;1
No;Lewis Orford;West Ham;2006;18;eng ENG;eng;2;0.5;49;MF;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0.05;0.09;0.04;0.09;0;0.05;0;0;0;0;0;0;0;0;2;0;2;3.67;0;0;0;0;1;0;0;0;0;1;;;;;;;;;;;;;;;;;;42;1;8;28;7;2;42;22;1;0;0;;0;98;;31;1;0
No;Liam Delap;Ipswich Town;2003;21;eng ENG;eng;37;28.8;2593;FW;;32;12;2;14;2;2;10;1.9;9.3;7.8;61;30;110;12;0;0.42;0.07;0.49;0.42;0.35;0.32;0.39;0.07;0.34;9.7;0.27;7;0.24;13;2;2;0;0;0;28;3;62;2.15;12;2;28;13;2;0;11;8;0;8;13,3;;;;;;;;;;;;;;;;;682;29;78;291;335;92;680;445;104;86;40;46.5;37;3283;43;537;110;60
No;Lisandro Martínez;Manchester Utd;1998;26;ar ARG;ar;20;19.5;1751;DF;;20;2;1;3;0;0;2;1.1;1.3;1.3;23;117;7;7;0;0.1;0.05;0.15;0.15;0.1;0.07;0.13;0.06;0.13;2.4;0.07;2;0.1;0;0;1;0;0;0;23;2;26;1.34;0;0;57;15;32;1;40;24;8;14;58,3;;;;;;;;;;;;;;;;;1524;156;713;697;125;18;1524;1017;1;7;6;85.7;1;5141;14.3;1069;7;3
No;Lloyd Kelly;Newcastle Utd;1998;25;eng ENG;eng;10;3.4;303;DF;;4;0;1;1;0;0;0;0.5;0.4;0.4;0;9;5;2;0;0;0.3;0.3;0.3;0;0.12;0.26;0.14;0.26;0.9;0.12;1;0.3;0;0;0;0;0;0;2;1;2;0.59;0;0;17;0;1;0;5;4;4;2;100;;;;;;;;;;;;;;;;;215;26;105;94;19;4;215;120;3;3;2;66.7;1;474;33.3;129;5;2
No;Lucas Bergvall;Tottenham;2006;18;se SWE;se;27;13.5;1212;MF;;11;0;1;1;0;0;0;0.6;0.7;0.7;33;49;31;3;0;0;0.07;0.07;0.07;0;0.05;0.09;0.04;0.09;1.3;0.05;4;0.3;0;0;0;0;4;0;16;3;22;1.63;0;0;22;15;24;3;39;19;8;10;53,1;;;;;;;;;;;;;;;;;885;36;188;478;232;22;885;531;20;45;21;46.7;20;3392;44.4;586;31;19
No;Lucas Digne;Aston Villa;1993;31;fr FRA;fr;32;26.1;2351;DF;;28;0;4;4;0;0;0;4.7;0.8;0.8;23;57;142;4;0;0;0.15;0.15;0.15;0;0.03;0.21;0.18;0.21;5.5;0.03;5;0.19;0;0;1;0;18;0;42;5;66;2.53;1;0;89;22;25;1;65;38;4;19;66,7;;;;;;;;;;;;;;;;;1527;97;541;457;539;28;1527;683;17;19;9;47.4;9;2983;47.4;820;142;16
No;Lucas Paquetá;West Ham;1997;26;br BRA;br;33;26.4;2380;MF;FW;27;4;0;4;2;2;2;3.1;5.3;3.7;26;155;85;10;0;0.15;0;0.15;0.08;0.08;0.2;0.32;0.12;0.26;6.8;0.14;6;0.23;5;1;1;0;2;0;68;3;82;3.1;2;0;37;28;18;6;66;37;4;25;49,1;;;;;;;;;;;;;;;;;1796;62;367;989;454;59;1794;921;54;47;21;44.7;21;3358;44.7;1268;85;51
No;Luis Díaz;Liverpool;1997;27;co COL;co;36;26.7;2399;FW;;28;13;5;18;0;0;13;5;12;12;108;110;293;2;0;0.49;0.19;0.68;0.68;0.49;0.45;0.64;0.19;0.64;17.1;0.45;16;0.6;4;2;0;0;0;0;88;13;117;4.39;16;1;7;24;7;1;39;26;0;19;38,5;;;;;;;;;;;;;;;;;1184;17;90;409;706;167;1184;780;55;116;53;45.7;51;5710;44;933;293;49
No;Luis Guilherme;West Ham;2006;18;br BRA;br;12;1.7;150;MF;FW;1;0;0;0;0;0;0;0.1;0.4;0.4;4;5;16;0;0;0;0;0;0;0;0.25;0.3;0.05;0.3;0.5;0.25;0;0;1;0;0;0;1;0;6;0;10;6;1;0;2;3;3;0;1;0;0;7;0;;;;;;;;;;;;;;;;;99;3;19;40;41;5;99;51;4;13;7;53.8;4;383;30.8;69;16;3
No;Luis Sinisterra;Bournemouth;1999;25;co COL;co;12;2.6;236;FW;MF;1;1;1;2;0;0;1;1.4;1.2;1.2;19;6;38;0;0;0.38;0.38;0.76;0.76;0.38;0.46;1;0.54;1;2.6;0.46;1;0.38;0;0;0;0;0;0;11;1;14;5.29;1;0;8;4;1;0;7;2;0;3;0;;;;;;;;;;;;;;;;;155;7;18;41;96;23;155;95;6;20;8;40;10;744;50;102;38;3
No;Łukasz Fabiański;West Ham;1985;39;pl POL;pl;14;12.9;1160;GK;;13;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;3;0.23;0;0;5;1;0;1;0;0;0;0;0;220;10;4.5;12;0.93;226;77;13.1;35.5;0;22.6;0.12;0.29;1.6;21;3;530;414;525;5;0;0;530;285;0;3;3;100;0;1485;0;248;0;0
No;Luke Shaw;Manchester Utd;1995;29;eng ENG;eng;7;3.9;349;DF;;4;0;0;0;0;0;0;0.7;0;0;7;24;7;1;0;0;0;0;0;0;0.01;0.19;0.18;0.19;0.7;0.01;0;0;0;0;0;0;2;0;8;0;10;2.58;0;0;7;0;2;0;4;3;1;5;100;;;;;;;;;;;;;;;;;317;26;128;149;42;4;317;226;2;1;0;0;1;1102;100;248;7;0
No;Luke Thomas;Leicester City;2001;23;eng ENG;eng;14;12.3;1110;DF;;13;0;0;0;0;0;0;0.5;0.4;0.4;5;37;16;3;0;0;0;0;0;0;0.03;0.07;0.04;0.07;0.9;0.03;1;0.08;0;0;1;0;3;0;12;1;16;1.3;0;0;49;20;21;1;31;25;6;9;51,2;;;;;;;;;;;;;;;;;775;50;294;366;120;8;775;371;12;6;3;50;3;1457;50;431;16;4
No;Luke Woolfenden;Ipswich Town;1998;25;eng ENG;eng;15;13.2;1187;DF;;12;0;0;0;0;0;0;0;0;0;7;15;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0.15;0;0;76;3;19;0;9;6;14;7;40;;;;;;;;;;;;;;;;;694;147;407;278;9;3;694;368;4;0;0;;0;2118;;442;0;0
No;Mads Hermansen;Leicester City;2000;24;dk DEN;dk;27;26.5;2385;GK;;27;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0.11;0;0;13;0;0;4;1;1;0;1;100;419;26;6.2;26;0.98;471;114;13.1;34.6;3;56.4;0.05;0.35;1.4;58;3;1147;831;1106;43;0;0;1147;734;1;1;1;100;0;3625;0;625;0;0
No;Mads Roerslev;Brentford;1999;25;dk DEN;dk;19;12.2;1101;DF;;11;0;2;2;0;0;0;3;0.2;0.2;17;51;54;2;0;0;0.16;0.16;0.16;0;0.02;0.26;0.24;0.26;3.2;0.02;2;0.16;1;0;0;0;0;0;18;2;21;1.72;1;0;35;17;4;0;18;8;5;7;39,3;;;;;;;;;;;;;;;;;645;49;234;268;146;20;645;352;9;19;7;36.8;8;1630;42.1;406;54;6
No;Malo Gusto;Chelsea;2003;21;fr FRA;fr;32;20.7;1862;DF;;19;0;1;1;0;0;0;1.4;1.7;1.7;50;119;85;4;0;0;0.05;0.05;0.05;0;0.08;0.15;0.07;0.15;3.1;0.08;4;0.19;0;0;0;0;0;0;57;4;58;2.8;0;0;49;23;24;5;45;29;8;21;52,1;;;;;;;;;;;;;;;;;1595;64;387;772;451;43;1595;882;18;16;4;25;11;4513;68.8;1072;85;17
No;Manuel Akanji;Manchester City;1995;29;ch SUI;ch;26;22.4;2014;DF;;23;0;0;0;0;0;0;0.4;1.6;1.6;46;158;7;3;0;0;0;0;0;0;0.07;0.09;0.02;0.09;1.9;0.07;3;0.13;0;0;0;0;0;0;37;3;37;1.65;0;0;64;6;9;3;19;12;8;3;64,7;;;;;;;;;;;;;;;;;1881;119;559;920;405;19;1881;1254;5;2;2;100;0;6953;0;1483;7;5
No;Manuel Ugarte Ribeiro;Manchester Utd;2001;23;uy URU;uy;29;19.8;1785;MF;;22;1;2;3;0;0;1;1.1;1;1;16;61;20;11;0;0.05;0.1;0.15;0.15;0.05;0.05;0.11;0.06;0.11;2.1;0.05;4;0.2;2;0;3;0;0;0;24;3;31;1.56;0;0;17;38;27;2;77;49;4;29;44,1;;;;;;;;;;;;;;;;;1161;46;331;639;211;16;1161;668;32;32;18;56.3;10;2883;31.3;728;20;25
No;Marc Cucurella;Chelsea;1998;26;es ESP;es;36;33.2;2988;DF;;33;5;1;6;0;0;5;2.1;2.8;2.8;35;118;117;10;1;0.15;0.03;0.18;0.18;0.15;0.08;0.15;0.06;0.15;4.9;0.08;5;0.15;1;0;0;0;4;1;44;4;51;1.54;0;0;95;29;28;3;67;45;16;33;52,5;;;;;;;;;;;;;;;;;2244;119;677;1045;532;75;2244;944;28;15;4;26.7;9;4027;60;1385;117;7
No;Marc Guéhi;Crystal Palace;2000;24;eng ENG;eng;34;34;3059;DF;;34;3;2;5;0;0;3;1.8;2;2;22;134;10;9;1;0.09;0.06;0.15;0.15;0.09;0.06;0.11;0.05;0.11;3.7;0.06;5;0.15;2;0;2;1;0;0;36;4;44;1.29;0;0;163;16;28;2;61;34;23;32;66;;;;;;;;;;;;;;;;;2131;311;1051;943;148;39;2131;1142;16;15;12;80;2;5574;13.3;1330;10;18
No;Marc Guiu;Chelsea;2006;18;es ESP;es;3;0.8;73;FW;;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0.04;0.04;0.04;0;0;0;0;0;0;0;0;0;0;1;0;1;1.22;0;0;0;0;0;0;1;1;0;0;100;;;;;;;;;;;;;;;;;22;0;2;8;12;3;22;12;2;1;0;0;1;30;100;12;3;0
No;Marco Asensio;Aston Villa;1996;28;es ESP;es;13;8.3;743;MF;;9;3;1;4;2;0;3;1;4.4;2.9;22;45;38;2;0;0.36;0.12;0.48;0.48;0.36;0.54;0.66;0.12;0.47;3.8;0.35;3;0.36;3;0;1;0;7;0;22;2;35;4.24;1;0;3;6;2;0;7;5;1;6;33,3;;;;;;;;;;;;;;;;;386;6;38;158;200;30;384;242;9;19;12;63.2;5;1466;26.3;265;38;8
No;Marcos Senesi;Bournemouth;1997;27;ar ARG;ar;17;12.3;1106;DF;;13;0;0;0;0;0;0;0.2;0.8;0.8;12;62;7;5;0;0;0;0;0;0;0.07;0.09;0.02;0.09;1.1;0.07;1;0.08;0;0;0;0;0;0;16;1;16;1.3;0;0;58;17;14;0;39;21;7;9;45,2;;;;;;;;;;;;;;;;;889;73;391;427;82;16;889;554;7;10;6;60;4;2862;40;565;7;6
No;Marcus Harness;Ipswich Town;1996;28;eng ENG;eng;2;0.5;45;MF;;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;0;1;3;0;0;1;0;1;1;0;;;;;;;;;;;;;;;;;22;4;7;2;13;3;22;9;0;1;0;0;1;49;100;9;1;0
No;Marcus Rashford;Aston Villa;1997;26;eng ENG;eng;10;4.9;444;FW;;4;2;2;4;1;1;1;2.3;3.1;2.3;22;13;42;0;0;0.41;0.41;0.81;0.61;0.2;0.62;1.08;0.46;0.92;4.5;0.46;3;0.61;3;0;0;0;5;0;14;2;27;5.49;3;0;3;2;1;0;10;7;0;2;66,7;;;;;;;;;;;;;;;;;227;2;14;58;159;30;226;127;8;22;9;40.9;13;892;59.1;149;42;1
No;Marcus Rashford;Manchester Utd;1997;26;eng ENG;eng;15;10.9;978;FW;MF;12;4;1;5;0;0;4;2.1;1.7;1.7;20;21;79;2;0;0.37;0.09;0.46;0.46;0.37;0.16;0.35;0.19;0.35;3.8;0.16;1;0.09;0;0;0;0;1;0;24;1;29;2.67;2;0;7;6;4;0;7;4;0;8;33,3;;;;;;;;;;;;;;;;;440;3;35;189;222;34;440;293;14;39;9;23.1;26;1694;66.7;341;79;6
No;Marcus Tavernier;Bournemouth;1999;25;eng ENG;eng;29;21.5;1939;FW;MF;20;3;5;8;0;0;3;4;5.5;5.5;53;128;129;6;0;0.14;0.23;0.37;0.37;0.14;0.25;0.44;0.19;0.44;9.5;0.25;11;0.51;5;1;0;0;12;3;68;5;98;4.55;3;0;11;17;5;0;43;24;3;13;37;;;;;;;;;;;;;;;;;1196;20;135;468;622;58;1196;705;46;65;28;43.1;31;4335;47.7;790;129;47
No;Mario Lemina;Wolves;1993;30;ga GAB;ga;17;15.2;1364;MF;DF;15;1;3;4;0;0;1;1.1;1.4;1.4;8;48;21;4;0;0.07;0.2;0.26;0.26;0.07;0.09;0.17;0.07;0.17;2.5;0.09;5;0.33;0;0;1;0;0;0;21;5;26;1.71;2;0;50;9;27;3;51;31;7;5;69;;;;;;;;;;;;;;;;;809;92;324;378;119;18;809;382;21;16;10;62.5;4;2068;25;482;21;11
No;Mark Flekken;Brentford;1993;31;nl NED;nl;37;36.4;3275;GK;;37;0;2;2;0;0;0;0.5;0;0;0;0;0;1;0;0;0.05;0.05;0.05;0;0;0.01;0.01;0.01;0.5;0;2;0.05;0;0;0;0;4;2;6;0;10;0.27;0;0;26;6;0;4;4;4;0;2;33,3;581;46;7.9;34;0.93;659;249;11.5;34.4;2;52.7;-0.01;0.26;-0.3;55;1;1824;1436;1777;52;0;0;1824;1122;3;1;1;100;0;5725;0;1015;0;0
No;Mark Travers;Bournemouth;1999;25;ie IRL;ie;5;5;450;GK;;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;;63;1;1.6;5;1;73;33;12.9;36.3;0;9.5;0.89;0.38;4.5;5;0;162;144;159;3;0;0;162;85;0;0;0;;0;426;;68;0;0
No;Marshall Munetsi;Wolves;1996;28;zw ZIM;zw;14;12;1078;MF;FW;12;2;1;3;0;0;2;1.8;3.3;3.3;9;10;35;0;0;0.17;0.08;0.25;0.25;0.17;0.28;0.42;0.15;0.42;5.1;0.28;1;0.08;2;0;1;0;0;0;16;1;21;1.75;0;0;18;10;6;0;24;10;1;13;56,5;;;;;;;;;;;;;;;;;364;21;58;182;128;36;364;148;32;11;3;27.3;7;580;63.6;182;35;12
No;Martial Godo;Fulham;2003;21;eng ENG;eng;2;0.3;24;FW;DF;0;0;0;0;0;0;0;0.1;0;0;2;3;6;0;0;0;0;0;0;0;0;0.21;0.21;0.21;0.1;0;0;0;0;0;0;0;0;0;1;0;1;3.91;0;0;0;0;1;0;0;0;0;1;;;;;;;;;;;;;;;;;;25;0;1;7;17;7;25;18;0;4;1;25;3;155;75;15;6;0
No;Martin Dúbravka;Newcastle Utd;1989;35;sk SVK;sk;10;10;900;GK;;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;;127;10;7.9;11;1.1;80;18;15.3;25.2;0;12.9;0.09;0.32;0.9;12;0;350;262;337;14;0;0;350;202;0;0;0;;0;1043;;175;0;0
No;Martin Ødegaard;Arsenal;1998;25;no NOR;no;30;25.8;2325;MF;;26;3;8;11;1;1;2;5.4;4.8;4;92;258;154;4;0;0.12;0.31;0.43;0.39;0.08;0.19;0.4;0.21;0.37;9.5;0.16;18;0.7;2;0;0;0;13;2;101;14;124;4.8;3;1;6;21;6;1;19;11;0;5;16;;;;;;;;;;;;;;;;;1694;9;126;708;875;115;1693;1174;38;59;25;42.4;32;7444;54.2;1336;154;40
No;Mason Holgate;Everton;1996;27;jm JAM;jm;1;0.1;6;FW;DF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;3;0;0;2;1;0;3;1;1;0;0;;0;0;;1;0;0
